                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.05167,                0.20987,                0.86749,                 0.9695,                0.93396,                0.97282,                0.97282,                0.07421,                0.18376,                0.26585,               0.005644,               0.005644,               0.005644
                    113,                0.05091,                0.20506,                 0.8701,                 0.9632,                0.92982,                0.97283,                0.97283,                0.07374,                0.18742,                0.26544,              0.0056044,              0.0056044,              0.0056044
                    114,                0.05174,                0.21624,                0.86718,                0.96638,                  0.935,                  0.974,                  0.974,                0.07317,                0.18082,                0.26411,              0.0055648,              0.0055648,              0.0055648
                    115,                0.05007,                0.20246,                0.86838,                0.96718,                0.93869,                0.97484,                0.97484,                 0.0735,                 0.1713,                0.26391,              0.0055252,              0.0055252,              0.0055252
                    116,                0.04995,                0.19743,                 0.8668,                0.96724,                0.95224,                0.97648,                0.97648,                 0.0731,                0.16653,                0.26333,              0.0054856,              0.0054856,              0.0054856
                    117,                0.04974,                0.19696,                0.86652,                0.96351,                0.95185,                0.97697,                0.97697,                0.07391,                0.17101,                0.26436,               0.005446,               0.005446,               0.005446
                    118,                0.04877,                0.19532,                0.86966,                0.96377,                0.95318,                0.97714,                0.97714,                0.07489,                0.17333,                0.26522,              0.0054064,              0.0054064,              0.0054064
                    119,                0.04976,                0.20032,                0.86925,                0.96069,                0.95439,                0.97711,                0.97711,                0.07593,                 0.1737,                 0.2663,              0.0053668,              0.0053668,              0.0053668
                    120,                0.05009,                0.19474,                0.86828,                0.96219,                0.96197,                0.97931,                0.97931,                0.07625,                0.16175,                0.26584,              0.0053272,              0.0053272,              0.0053272
                    121,                0.04842,                0.19703,                 0.8683,                0.95856,                0.96154,                0.97929,                0.97929,                0.07594,                0.16638,                0.26539,              0.0052876,              0.0052876,              0.0052876
                    122,                0.04904,                0.20318,                0.86937,                0.95991,                0.96208,                0.97971,                0.97971,                0.07638,                 0.1768,                0.26603,               0.005248,               0.005248,               0.005248
                    123,                0.04855,                0.20138,                0.86983,                0.96044,                0.96097,                0.98009,                0.98009,                 0.0768,                0.17957,                0.26651,              0.0052084,              0.0052084,              0.0052084
                    124,                0.04895,                0.19453,                0.86843,                0.94881,                0.96582,                0.98059,                0.98059,                 0.0772,                0.17417,                0.26668,              0.0051688,              0.0051688,              0.0051688
                    125,                0.04882,                0.18946,                0.86827,                0.96138,                0.96014,                0.98016,                0.98016,                0.07698,                0.17335,                0.26615,              0.0051292,              0.0051292,              0.0051292
                    126,                0.04779,                0.19723,                0.86651,                0.96767,                0.96108,                0.98015,                0.98015,                0.07676,                0.17433,                0.26579,              0.0050896,              0.0050896,              0.0050896
                    127,                0.04786,                0.20006,                 0.8676,                0.95913,                0.96359,                0.97968,                0.97968,                0.07602,                 0.1763,                0.26508,                0.00505,                0.00505,                0.00505
                    128,                0.04813,                0.20126,                0.86841,                0.96744,                0.96391,                0.98052,                0.98052,                0.07475,                 0.1667,                0.26311,              0.0050104,              0.0050104,              0.0050104
                    129,                0.04812,                0.19318,                0.86857,                0.96404,                 0.9651,                0.98102,                0.98102,                 0.0735,                0.15932,                0.26162,              0.0049708,              0.0049708,              0.0049708
                    130,                0.04735,                0.19307,                0.86765,                0.96051,                0.97337,                0.98167,                0.98167,                0.07162,                0.15409,                0.25937,              0.0049312,              0.0049312,              0.0049312
                    131,                0.04806,                0.20031,                0.86652,                0.96055,                0.97357,                0.98168,                0.98168,                0.07026,                0.14864,                0.25785,              0.0048916,              0.0048916,              0.0048916
                    132,                0.04829,                0.19279,                 0.8679,                0.96213,                0.97319,                0.98182,                0.98182,                0.06994,                0.14908,                 0.2573,               0.004852,               0.004852,               0.004852
                    133,                 0.0473,                0.19071,                0.86675,                0.96124,                0.97306,                0.98107,                0.98107,                0.07032,                0.14703,                0.25723,              0.0048124,              0.0048124,              0.0048124
                    134,                0.04686,                0.18889,                0.86926,                0.95899,                0.97461,                0.98104,                0.98104,                0.07108,                 0.1454,                0.25756,              0.0047728,              0.0047728,              0.0047728
                    135,                0.04587,                0.19395,                0.86922,                0.95803,                0.97188,                 0.9808,                 0.9808,                0.07126,                0.14499,                0.25757,              0.0047332,              0.0047332,              0.0047332
                    136,                0.04632,                0.18618,                 0.8687,                0.95646,                0.96706,                0.98034,                0.98034,                0.07127,                0.14662,                0.25755,              0.0046936,              0.0046936,              0.0046936
                    137,                0.04769,                0.18986,                0.86748,                0.95825,                0.96295,                0.97973,                0.97973,                0.07147,                0.14673,                0.25759,               0.004654,               0.004654,               0.004654
                    138,                0.04643,                0.18683,                0.86932,                0.95123,                 0.9684,                0.97893,                0.97893,                0.07144,                0.14651,                0.25747,              0.0046144,              0.0046144,              0.0046144
                    139,                0.04528,                0.18839,                0.86592,                0.95301,                0.96925,                0.97911,                0.97911,                0.07158,                0.14786,                0.25761,              0.0045748,              0.0045748,              0.0045748
                    140,                0.04493,                0.18825,                0.86789,                0.95413,                0.96969,                0.97871,                0.97871,                0.07168,                0.14966,                0.25783,              0.0045352,              0.0045352,              0.0045352
                    141,                0.04657,                 0.1858,                0.86716,                0.95483,                0.97488,                0.97867,                0.97867,                0.07206,                0.15299,                0.25842,              0.0044956,              0.0044956,              0.0044956
                    142,                0.04612,                0.18633,                0.86776,                0.95684,                0.97214,                 0.9783,                 0.9783,                0.07209,                0.15509,                0.25866,               0.004456,               0.004456,               0.004456
                    143,                0.04606,                0.17822,                0.86932,                0.95762,                0.97385,                 0.9791,                 0.9791,                0.07192,                0.15587,                0.25875,              0.0044164,              0.0044164,              0.0044164
                    144,                0.04611,                0.18709,                0.86806,                0.95575,                0.97034,                0.97915,                0.97915,                0.07161,                0.15508,                0.25862,              0.0043768,              0.0043768,              0.0043768
                    145,                0.04513,                0.17939,                0.86911,                0.95537,                0.97049,                0.97852,                0.97852,                0.07104,                0.15453,                0.25807,              0.0043372,              0.0043372,              0.0043372
                    146,                0.04494,                0.17945,                0.86789,                0.95772,                0.96851,                0.97893,                0.97893,                0.07101,                0.15604,                0.25839,              0.0042976,              0.0042976,              0.0042976
                    147,                0.04436,                0.17334,                0.86778,                0.96001,                0.96755,                0.97874,                0.97874,                0.07101,                0.15828,                0.25865,               0.004258,               0.004258,               0.004258
                    148,                0.04604,                0.18145,                0.86792,                0.96069,                0.96679,                0.97746,                0.97746,                0.07134,                 0.1591,                0.25927,              0.0042184,              0.0042184,              0.0042184
                    149,                0.04472,                0.18285,                0.86661,                0.96136,                0.96673,                0.97763,                0.97763,                0.07168,                0.16068,                0.25998,              0.0041788,              0.0041788,              0.0041788
                    150,                0.04416,                  0.179,                0.86736,                0.96248,                0.96647,                0.97785,                0.97785,                0.07192,                0.16113,                0.26055,              0.0041392,              0.0041392,              0.0041392
                    151,                0.04255,                 0.1799,                0.86577,                0.96307,                 0.9662,                0.97853,                0.97853,                 0.0726,                0.16284,                 0.2617,              0.0040996,              0.0040996,              0.0040996
                    152,                0.04315,                0.17757,                0.86741,                0.96185,                0.97212,                0.97878,                0.97878,                0.07332,                0.16419,                0.26289,                0.00406,                0.00406,                0.00406
                    153,                0.04278,                0.17504,                0.86702,                0.96231,                0.97013,                0.97955,                0.97955,                 0.0741,                0.16575,                0.26412,              0.0040204,              0.0040204,              0.0040204
                    154,                0.04255,                0.17679,                0.86681,                0.96081,                0.97159,                0.97929,                0.97929,                 0.0745,                 0.1664,                0.26465,              0.0039808,              0.0039808,              0.0039808
